Text (font_utf8 to line-2-head),  Kametohito(1_24hours)________
卵　いちごジャム　海藻と水, Kametohito(1_24hours)12655
鶏卵と山椒.葉, Kametohito(1_24hours)12655
土と石。, Kametohito(1_24hours)12655
石動とヒト, Kametohito(1_24hours)12655
石　… 発芽📈, Kametohito(1_24hours)12655
コーン　鶏卵, Kametohito(1_24hours)12657
コーン　鶏卵　マヨネーズ, Kametohito(1_24hours)12657
卵 と シソ と チーズ, Kametohito(1_24hours)12657
水穴・ドーム・ドリアン, Kametohito(1_24hours)12657
石山, Kametohito(1_24hours)12657
ストロベリー, Kametohito(1_24hours)12657
イブと高実, Kametohito(1_24hours)12657
アダムと低実, Kametohito(1_24hours)12657
アダムと鶏卵, Kametohito(1_24hours)12657
ビール+はくりきこ　パン, Kametohito(1_24hours)12657
発酵酵母底白と80mlプラスチック容器　な　ビール, Kametohito(1_24hours)12657
